OBJECTID,Name,Height,POINT_X,POINT_Y,POINT_Z,Symbol,Pixel_x_Laboard_b,Pixel_y_Laboard_b
1,Chulaybi Castle,9,250969.4,743984.5,-156,A,747,459
2,Al-Zaydani Mosque,9,251002.5,743727.7,-177,B,1107,564
3,Al-Bacher Mosque,7,251161.2,743597.9,-182.3,C,2820,651
4,Leaning Turret,6,251278.5,743373.2,0,D,0,0
5,North-west turret,6,250885.8,743756.6,-171,E,246,666
6,South-west Turret,6,251008.5,743426.1,-170,H,1983,687
7,Southern gate,6,251163.1,743386.3,-181.1,J,3331,744
8,Turret,6,251042.6,743418.7,-170.9,I,2379,714
9,Turret,6,251119.5,743390.8,-178,G,2873,747
10,St. Church,9,251130,743812,-178,K,0,0
11,The Senior Synagouge,6,251132,743677,-177,L,0,0
