OBJECTID,pointid,grid_code,POINT_X,POINT_Y,POINT_Z
1,1,3,222778.130371093750000,632617.474853515625000,732.000000000000000
2,2,3,222790.549560546875000,632617.474853515625000,732.000000000000000
3,3,3,222802.968872070312500,632617.474853515625000,733.000000000000000
4,4,3,222815.388061523437500,632617.474853515625000,734.000000000000000
5,5,3,222827.807250976562500,632617.474853515625000,735.000000000000000
6,6,4,222840.226440429687500,632617.474853515625000,736.000000000000000
7,7,3,222852.645629882812500,632617.474853515625000,738.000000000000000
8,8,4,222865.064941406250000,632617.474853515625000,740.000000000000000
9,9,4,222877.484130859375000,632617.474853515625000,742.000000000000000
10,10,6,222889.903320312500000,632617.474853515625000,744.000000000000000
11,11,10,222902.322509765625000,632617.474853515625000,746.000000000000000
12,12,10,222914.741699218750000,632617.474853515625000,747.000000000000000
13,13,11,222927.161010742187500,632617.474853515625000,747.000000000000000
14,14,11,222939.580200195312500,632617.474853515625000,748.000000000000000
15,15,2,222951.999511718750000,632617.474853515625000,748.000000000000000
16,16,5,222964.418701171875000,632617.474853515625000,748.000000000000000
17,17,8,222976.837890625000000,632617.474853515625000,750.000000000000000
18,18,13,222989.257080078125000,632617.474853515625000,752.000000000000000
19,19,13,223001.676391601562500,632617.474853515625000,753.000000000000000
20,20,15,223014.095581054687500,632617.474853515625000,754.000000000000000
21,21,13,223026.514770507812500,632617.474853515625000,755.000000000000000
22,22,15,223038.933959960937500,632617.474853515625000,757.000000000000000
23,23,17,223051.353149414062500,632617.474853515625000,759.000000000000000
24,24,16,223063.772460937500000,632617.474853515625000,761.000000000000000
25,25,16,223076.191650390625000,632617.474853515625000,762.000000000000000
26,26,18,223088.610839843750000,632617.474853515625000,764.000000000000000
27,27,17,223101.030029296875000,632617.474853515625000,765.000000000000000
28,28,17,223113.449218750000000,632617.474853515625000,765.000000000000000
29,29,17,223125.868530273437500,632617.474853515625000,767.000000000000000
30,30,17,223138.287719726562500,632617.474853515625000,769.000000000000000
31,31,19,223150.706909179687500,632617.474853515625000,772.000000000000000
32,32,22,223163.126220703125000,632617.474853515625000,776.000000000000000
33,33,22,223175.545410156250000,632617.474853515625000,778.000000000000000
34,34,22,223187.964599609375000,632617.474853515625000,780.000000000000000
35,35,22,223200.383911132812500,632617.474853515625000,780.000000000000000
36,36,19,223212.803100585937500,632617.474853515625000,782.000000000000000
37,37,20,223225.222290039062500,632617.474853515625000,783.117100000003120
38,38,20,223237.641479492187500,632617.474853515625000,788.000000000000000
39,39,19,223250.060668945312500,632617.474853515625000,791.000000000000000
40,40,19,223262.479980468750000,632617.474853515625000,793.000000000000000
41,41,20,223274.899169921875000,632617.474853515625000,794.000000000000000
42,42,20,223287.318359375000000,632617.474853515625000,795.000000000000000
43,43,18,223299.737548828125000,632617.474853515625000,796.000000000000000
44,44,18,223312.156738281250000,632617.474853515625000,797.000000000000000
45,45,17,223324.575927734375000,632617.474853515625000,798.000000000000000
46,46,17,223336.995239257812500,632617.474853515625000,801.000000000000000
47,47,17,223349.414428710937500,632617.474853515625000,803.000000000000000
48,48,19,223361.833618164062500,632617.474853515625000,805.000000000000000
49,49,19,223374.252929687500000,632617.474853515625000,807.000000000000000
50,50,19,223386.672119140625000,632617.474853515625000,809.000000000000000
51,51,19,223399.091430664062500,632617.474853515625000,810.000000000000000
52,52,19,223411.510620117187500,632617.474853515625000,811.000000000000000
53,53,3,222778.130371093750000,632604.997680664062500,731.000000000000000
54,54,3,222790.549560546875000,632604.997680664062500,732.000000000000000
55,55,3,222802.968872070312500,632604.997680664062500,733.000000000000000
56,56,3,222815.388061523437500,632604.997680664062500,734.000000000000000
57,57,4,222827.807250976562500,632604.997680664062500,735.000000000000000
58,58,3,222840.226440429687500,632604.997680664062500,737.000000000000000
59,59,3,222852.645629882812500,632604.997680664062500,738.000000000000000
60,60,3,222865.064941406250000,632604.997680664062500,740.000000000000000
61,61,4,222877.484130859375000,632604.997680664062500,742.000000000000000
62,62,6,222889.903320312500000,632604.997680664062500,745.000000000000000
