OBJECTID,pointid,grid_code,POINT_X,POINT_Y,POINT_Z
6,6,7,250743.8457,744103.3401,-142
13,13,7,250743.8457,744090.8401,-143
14,14,7,250756.3457,744090.8401,-144
402,402,7,250981.3457,743978.3401,-156
450,450,7,250968.8457,743965.8401,-156
451,451,7,250981.3457,743965.8401,-157
499,499,7,250956.3457,743953.3401,-156
2861,2861,7,251131.3457,743503.3401,-165
3315,3315,7,250593.8457,743415.8401,-136
3387,3387,7,250606.3457,743403.3401,-135
3388,3388,7,250618.8457,743403.3401,-138
3389,3389,7,250631.3457,743403.3401,-140
3459,3459,7,250606.3457,743390.8401,-134
3460,3460,7,250618.8457,743390.8401,-136
3461,3461,7,250631.3457,743390.8401,-138
3531,3531,7,250606.3457,743378.3401,-134
3532,3532,7,250618.8457,743378.3401,-136
3533,3533,7,250631.3457,743378.3401,-138
3534,3534,7,250643.8457,743378.3401,-140
3603,3603,7,250606.3457,743365.8401,-134
3604,3604,7,250618.8457,743365.8401,-136
3729,3729,7,250368.8457,743340.8401,-109
3802,3802,8,250368.8457,743328.3401,-107
3803,3803,7,250381.3457,743328.3401,-110
3804,3804,7,250393.8457,743328.3401,-114
3805,3805,7,250406.3457,743328.3401,-116
3829,3829,7,250706.3457,743328.3401,-139
3830,3830,7,250718.8457,743328.3401,-140
3831,3831,7,250731.3457,743328.3401,-141
3832,3832,7,250743.8457,743328.3401,-142
3875,3875,8,250368.8457,743315.8401,-104
3876,3876,8,250381.3457,743315.8401,-108
3877,3877,7,250393.8457,743315.8401,-111
3878,3878,7,250406.3457,743315.8401,-113
3879,3879,7,250418.8457,743315.8401,-115
3903,3903,7,250718.8457,743315.8401,-138
3904,3904,7,250731.3457,743315.8401,-139
3905,3905,7,250743.8457,743315.8401,-140
3906,3906,7,250756.3457,743315.8401,-142
3907,3907,7,250768.8457,743315.8401,-144
3948,3948,8,250368.8457,743303.3401,-100
3949,3949,8,250381.3457,743303.3401,-104
3950,3950,8,250393.8457,743303.3401,-107
3951,3951,8,250406.3457,743303.3401,-110
3952,3952,8,250418.8457,743303.3401,-112
3977,3977,7,250731.3457,743303.3401,-137
3978,3978,7,250743.8457,743303.3401,-139
3979,3979,7,250756.3457,743303.3401,-141
3980,3980,7,250768.8457,743303.3401,-143
3981,3981,7,250781.3457,743303.3401,-146
4021,4021,8,250368.8457,743290.8401,-96
4022,4022,8,250381.3457,743290.8401,-100
4023,4023,8,250393.8457,743290.8401,-103
4024,4024,8,250406.3457,743290.8401,-107
4025,4025,8,250418.8457,743290.8401,-110
4026,4026,7,250431.3457,743290.8401,-113
4051,4051,7,250743.8457,743290.8401,-137
4052,4052,7,250756.3457,743290.8401,-139
4053,4053,7,250768.8457,743290.8401,-142
4054,4054,7,250781.3457,743290.8401,-145
4055,4055,7,250793.8457,743290.8401,-147
4095,4095,8,250368.8457,743278.3401,-91
4096,4096,8,250381.3457,743278.3401,-96
4097,4097,8,250393.8457,743278.3401,-100
4098,4098,8,250406.3457,743278.3401,-103
4099,4099,8,250418.8457,743278.3401,-107
4100,4100,8,250431.3457,743278.3401,-110
4126,4126,7,250756.3457,743278.3401,-138
4127,4127,7,250768.8457,743278.3401,-141
4128,4128,7,250781.3457,743278.3401,-144
4129,4129,7,250793.8457,743278.3401,-146
4130,4130,7,250806.3457,743278.3401,-148
4169,4169,8,250368.8457,743265.8401,-87
4170,4170,8,250381.3457,743265.8401,-91
4171,4171,8,250393.8457,743265.8401,-96
4172,4172,8,250406.3457,743265.8401,-100
4173,4173,8,250418.8457,743265.8401,-104
4174,4174,8,250431.3457,743265.8401,-107
4200,4200,7,250756.3457,743265.8401,-138
4201,4201,7,250768.8457,743265.8401,-140
4202,4202,7,250781.3457,743265.8401,-143
4203,4203,7,250793.8457,743265.8401,-145
4204,4204,7,250806.3457,743265.8401,-148
4243,4243,8,250381.3457,743253.3401,-88
4244,4244,8,250393.8457,743253.3401,-93
4245,4245,8,250406.3457,743253.3401,-97
4246,4246,8,250418.8457,743253.3401,-101
4247,4247,8,250431.3457,743253.3401,-105
4248,4248,8,250443.8457,743253.3401,-108
4274,4274,7,250768.8457,743253.3401,-139
4275,4275,7,250781.3457,743253.3401,-141
4276,4276,7,250793.8457,743253.3401,-145
4277,4277,7,250806.3457,743253.3401,-148
4316,4316,8,250381.3457,743240.8401,-85
4317,4317,8,250393.8457,743240.8401,-90
4318,4318,8,250406.3457,743240.8401,-94
4319,4319,8,250418.8457,743240.8401,-99
4320,4320,8,250431.3457,743240.8401,-103
4321,4321,8,250443.8457,743240.8401,-106
4347,4347,7,250768.8457,743240.8401,-139
4348,4348,7,250781.3457,743240.8401,-141
4349,4349,7,250793.8457,743240.8401,-144
4350,4350,7,250806.3457,743240.8401,-147
4389,4389,8,250381.3457,743228.3401,-84
4390,4390,8,250393.8457,743228.3401,-88
4391,4391,8,250406.3457,743228.3401,-92
4392,4392,8,250418.8457,743228.3401,-97
4393,4393,8,250431.3457,743228.3401,-101
4394,4394,8,250443.8457,743228.3401,-104
4395,4395,8,250456.3457,743228.3401,-107
4421,4421,7,250781.3457,743228.3401,-141
4422,4422,7,250793.8457,743228.3401,-144
4423,4423,7,250806.3457,743228.3401,-146
4424,4424,7,250818.8457,743228.3401,-149
4446,4446,7,251093.8457,743228.3401,-171
4447,4447,7,251106.3457,743228.3401,-172
4462,4462,8,250381.3457,743215.8401,-85
4463,4463,8,250393.8457,743215.8401,-88
4464,4464,8,250406.3457,743215.8401,-92
4465,4465,8,250418.8457,743215.8401,-96
4466,4466,8,250431.3457,743215.8401,-100
4467,4467,8,250443.8457,743215.8401,-103
4468,4468,8,250456.3457,743215.8401,-106
4469,4469,7,250468.8457,743215.8401,-108
4495,4495,7,250793.8457,743215.8401,-143
4496,4496,7,250806.3457,743215.8401,-145
4497,4497,7,250818.8457,743215.8401,-147
4498,4498,7,250831.3457,743215.8401,-150
4518,4518,7,251081.3457,743215.8401,-169
4519,4519,7,251093.8457,743215.8401,-170
4520,4520,7,251106.3457,743215.8401,-171
4536,4536,8,250381.3457,743203.3401,-86
4537,4537,8,250393.8457,743203.3401,-89
4538,4538,8,250406.3457,743203.3401,-92
4539,4539,8,250418.8457,743203.3401,-96
4540,4540,8,250431.3457,743203.3401,-99
4541,4541,8,250443.8457,743203.3401,-102
4542,4542,8,250456.3457,743203.3401,-104
4543,4543,8,250468.8457,743203.3401,-107
4544,4544,7,250481.3457,743203.3401,-109
4545,4545,7,250493.8457,743203.3401,-110
4570,4570,7,250806.3457,743203.3401,-145
4571,4571,7,250818.8457,743203.3401,-147
4572,4572,7,250831.3457,743203.3401,-150
4591,4591,7,251068.8457,743203.3401,-167
4592,4592,7,251081.3457,743203.3401,-168
4593,4593,7,251093.8457,743203.3401,-169
4594,4594,7,251106.3457,743203.3401,-170
4610,4610,7,250381.3457,743190.8401,-87
4611,4611,8,250393.8457,743190.8401,-90
4612,4612,8,250406.3457,743190.8401,-92
4613,4613,8,250418.8457,743190.8401,-95
4614,4614,8,250431.3457,743190.8401,-98
4615,4615,8,250443.8457,743190.8401,-101
4616,4616,8,250456.3457,743190.8401,-103
4617,4617,8,250468.8457,743190.8401,-105
4618,4618,8,250481.3457,743190.8401,-107
4619,4619,8,250493.8457,743190.8401,-109
4644,4644,7,250806.3457,743190.8401,-145
4645,4645,7,250818.8457,743190.8401,-147
4646,4646,7,250831.3457,743190.8401,-149
4666,4666,7,251081.3457,743190.8401,-167
4667,4667,7,251093.8457,743190.8401,-168
4668,4668,7,251106.3457,743190.8401,-169
4669,4669,7,251118.8457,743190.8401,-171
4670,4670,7,251131.3457,743190.8401,-172
4684,4684,8,250381.3457,743178.3401,-87
4685,4685,7,250393.8457,743178.3401,-90
4686,4686,8,250406.3457,743178.3401,-92
4687,4687,8,250418.8457,743178.3401,-94
4688,4688,8,250431.3457,743178.3401,-97
4689,4689,8,250443.8457,743178.3401,-100
4691,4691,8,250468.8457,743178.3401,-104
4692,4692,8,250481.3457,743178.3401,-106
4693,4693,7,250493.8457,743178.3401,-108
4694,4694,7,250506.3457,743178.3401,-110
4718,4718,7,250806.3457,743178.3401,-144
4719,4719,7,250818.8457,743178.3401,-145
4720,4720,7,250831.3457,743178.3401,-148
4721,4721,7,250843.8457,743178.3401,-150
4722,4722,7,250856.3457,743178.3401,-152
4724,4724,7,250881.3457,743178.3401,-155
4725,4725,7,250893.8457,743178.3401,-156
4726,4726,7,250906.3457,743178.3401,-157
4740,4740,7,251081.3457,743178.3401,-166
4741,4741,7,251093.8457,743178.3401,-167
4742,4742,7,251106.3457,743178.3401,-168
4743,4743,7,251118.8457,743178.3401,-170
4744,4744,7,251131.3457,743178.3401,-171
4745,4745,7,251143.8457,743178.3401,-173
4758,4758,8,250381.3457,743165.8401,-87
4759,4759,8,250393.8457,743165.8401,-89
4760,4760,8,250406.3457,743165.8401,-91
4761,4761,8,250418.8457,743165.8401,-93
4762,4762,8,250431.3457,743165.8401,-96
4763,4763,8,250443.8457,743165.8401,-99
4765,4765,8,250468.8457,743165.8401,-103
4766,4766,8,250481.3457,743165.8401,-105
4767,4767,7,250493.8457,743165.8401,-107
4768,4768,7,250506.3457,743165.8401,-109
4792,4792,7,250806.3457,743165.8401,-143
4793,4793,7,250818.8457,743165.8401,-144
4794,4794,7,250831.3457,743165.8401,-145
4795,4795,7,250843.8457,743165.8401,-147
4796,4796,7,250856.3457,743165.8401,-150
4797,4797,7,250868.8457,743165.8401,-152
4798,4798,7,250881.3457,743165.8401,-153
4799,4799,7,250893.8457,743165.8401,-154
4800,4800,7,250906.3457,743165.8401,-155
4814,4814,7,251081.3457,743165.8401,-165
4815,4815,7,251093.8457,743165.8401,-165
4816,4816,7,251106.3457,743165.8401,-166
4817,4817,7,251118.8457,743165.8401,-169
4818,4818,7,251131.3457,743165.8401,-170
4819,4819,7,251143.8457,743165.8401,-172
4832,4832,8,250381.3457,743153.3401,-84
4833,4833,8,250393.8457,743153.3401,-87
4834,4834,8,250406.3457,743153.3401,-89
4835,4835,8,250418.8457,743153.3401,-92
4836,4836,8,250431.3457,743153.3401,-95
4837,4837,8,250443.8457,743153.3401,-98
4838,4838,8,250456.3457,743153.3401,-100
4839,4839,8,250468.8457,743153.3401,-102
4840,4840,8,250481.3457,743153.3401,-104
4841,4841,7,250493.8457,743153.3401,-107
4842,4842,7,250506.3457,743153.3401,-109
4843,4843,7,250518.8457,743153.3401,-111
4867,4867,7,250818.8457,743153.3401,-142
4868,4868,7,250831.3457,743153.3401,-143
4869,4869,7,250843.8457,743153.3401,-145
4870,4870,7,250856.3457,743153.3401,-148
4871,4871,7,250868.8457,743153.3401,-150
4872,4872,7,250881.3457,743153.3401,-151
4873,4873,7,250893.8457,743153.3401,-152
4874,4874,7,250906.3457,743153.3401,-153
4875,4875,7,250918.8457,743153.3401,-155
4877,4877,7,250943.8457,743153.3401,-158
4887,4887,7,251068.8457,743153.3401,-164
4888,4888,7,251081.3457,743153.3401,-164
4889,4889,8,251093.8457,743153.3401,-164
4890,4890,7,251106.3457,743153.3401,-165
4893,4893,7,251143.8457,743153.3401,-171
4907,4907,8,250381.3457,743140.8401,-81
4908,4908,8,250393.8457,743140.8401,-84
4909,4909,8,250406.3457,743140.8401,-87
4910,4910,8,250418.8457,743140.8401,-91
4911,4911,8,250431.3457,743140.8401,-94
4912,4912,8,250443.8457,743140.8401,-97
4913,4913,8,250456.3457,743140.8401,-99
4914,4914,8,250468.8457,743140.8401,-102
4915,4915,8,250481.3457,743140.8401,-104
4916,4916,7,250493.8457,743140.8401,-107
4942,4942,7,250818.8457,743140.8401,-140
4943,4943,7,250831.3457,743140.8401,-141
4944,4944,7,250843.8457,743140.8401,-143
4945,4945,7,250856.3457,743140.8401,-146
4946,4946,7,250868.8457,743140.8401,-148
4947,4947,7,250881.3457,743140.8401,-149
4948,4948,7,250893.8457,743140.8401,-150
4949,4949,7,250906.3457,743140.8401,-151
4950,4950,7,250918.8457,743140.8401,-153
4951,4951,7,250931.3457,743140.8401,-154
4952,4952,7,250943.8457,743140.8401,-156
4961,4961,7,251056.3457,743140.8401,-163
4962,4962,7,251068.8457,743140.8401,-163
4963,4963,7,251081.3457,743140.8401,-163
4982,4982,8,250381.3457,743128.3401,-78
4983,4983,8,250393.8457,743128.3401,-82
4984,4984,8,250406.3457,743128.3401,-86
4985,4985,8,250418.8457,743128.3401,-89
4986,4986,8,250431.3457,743128.3401,-93
4987,4987,8,250443.8457,743128.3401,-96
4988,4988,8,250456.3457,743128.3401,-98
4989,4989,8,250468.8457,743128.3401,-100
4990,4990,8,250481.3457,743128.3401,-103
4991,4991,7,250493.8457,743128.3401,-107
5013,5013,7,250768.8457,743128.3401,-137
5014,5014,7,250781.3457,743128.3401,-137
5016,5016,7,250806.3457,743128.3401,-138
5017,5017,7,250818.8457,743128.3401,-139
5018,5018,7,250831.3457,743128.3401,-140
5019,5019,7,250843.8457,743128.3401,-142
5020,5020,7,250856.3457,743128.3401,-144
5021,5021,7,250868.8457,743128.3401,-146
5022,5022,7,250881.3457,743128.3401,-147
5023,5023,7,250893.8457,743128.3401,-148
5024,5024,7,250906.3457,743128.3401,-150
5025,5025,7,250918.8457,743128.3401,-151
5026,5026,7,250931.3457,743128.3401,-152
5027,5027,7,250943.8457,743128.3401,-154
5028,5028,7,250956.3457,743128.3401,-156
5036,5036,7,251056.3457,743128.3401,-162
5037,5037,7,251068.8457,743128.3401,-162
5057,5057,8,250381.3457,743115.8401,-76
5058,5058,8,250393.8457,743115.8401,-80
5059,5059,8,250406.3457,743115.8401,-84
5060,5060,8,250418.8457,743115.8401,-88
5061,5061,8,250431.3457,743115.8401,-92
5062,5062,8,250443.8457,743115.8401,-95
5063,5063,8,250456.3457,743115.8401,-97
5064,5064,8,250468.8457,743115.8401,-99
5065,5065,8,250481.3457,743115.8401,-102
5066,5066,7,250493.8457,743115.8401,-106
5085,5085,7,250731.3457,743115.8401,-133
5086,5086,7,250743.8457,743115.8401,-134
5089,5089,7,250781.3457,743115.8401,-135
5090,5090,7,250793.8457,743115.8401,-136
5091,5091,7,250806.3457,743115.8401,-137
5092,5092,7,250818.8457,743115.8401,-138
5093,5093,7,250831.3457,743115.8401,-139
5094,5094,7,250843.8457,743115.8401,-140
5095,5095,7,250856.3457,743115.8401,-143
5096,5096,7,250868.8457,743115.8401,-145
5099,5099,7,250906.3457,743115.8401,-149
5100,5100,7,250918.8457,743115.8401,-150
5132,5132,8,250381.3457,743103.3401,-75
5133,5133,8,250393.8457,743103.3401,-79
5134,5134,8,250406.3457,743103.3401,-84
5135,5135,8,250418.8457,743103.3401,-88
5136,5136,8,250431.3457,743103.3401,-92
5137,5137,8,250443.8457,743103.3401,-94
5139,5139,8,250468.8457,743103.3401,-98
5140,5140,8,250481.3457,743103.3401,-101
5141,5141,7,250493.8457,743103.3401,-106
5159,5159,7,250718.8457,743103.3401,-130
5160,5160,7,250731.3457,743103.3401,-131
5161,5161,7,250743.8457,743103.3401,-132
5162,5162,7,250756.3457,743103.3401,-132
5163,5163,7,250768.8457,743103.3401,-133
5164,5164,7,250781.3457,743103.3401,-134
5165,5165,7,250793.8457,743103.3401,-135
5166,5166,7,250806.3457,743103.3401,-136
5167,5167,7,250818.8457,743103.3401,-137
5168,5168,7,250831.3457,743103.3401,-138
5170,5170,7,250856.3457,743103.3401,-142
5207,5207,8,250381.3457,743090.8401,-75
5208,5208,8,250393.8457,743090.8401,-79
5209,5209,8,250406.3457,743090.8401,-84
5210,5210,8,250418.8457,743090.8401,-89
5211,5211,8,250431.3457,743090.8401,-92
5212,5212,8,250443.8457,743090.8401,-94
5213,5213,8,250456.3457,743090.8401,-96
5214,5214,8,250468.8457,743090.8401,-98
5215,5215,8,250481.3457,743090.8401,-100
5216,5216,8,250493.8457,743090.8401,-105
5229,5229,8,250656.3457,743090.8401,-122
5230,5230,8,250668.8457,743090.8401,-123
5231,5231,8,250681.3457,743090.8401,-124
5232,5232,8,250693.8457,743090.8401,-125
5233,5233,8,250706.3457,743090.8401,-126
5234,5234,8,250718.8457,743090.8401,-128
