OBJECTID,pointid,grid_code,POINT_X,POINT_Y,POINT_Z
4446,4446,7,251093.845703125000000,743228.340087890625000,-171.000000000000000
4447,4447,7,251106.345703125000000,743228.340087890625000,-172.000000000000000
4518,4518,7,251081.345703125000000,743215.840087890625000,-169.000000000000000
4519,4519,7,251093.845703125000000,743215.840087890625000,-170.000000000000000
4520,4520,7,251106.345703125000000,743215.840087890625000,-171.000000000000000
4591,4591,7,251068.845703125000000,743203.340087890625000,-167.000000000000000
4592,4592,7,251081.345703125000000,743203.340087890625000,-168.000000000000000
4593,4593,7,251093.845703125000000,743203.340087890625000,-169.000000000000000
4594,4594,7,251106.345703125000000,743203.340087890625000,-170.000000000000000
4666,4666,7,251081.345703125000000,743190.840087890625000,-167.000000000000000
4667,4667,7,251093.845703125000000,743190.840087890625000,-168.000000000000000
4668,4668,7,251106.345703125000000,743190.840087890625000,-169.000000000000000
4669,4669,7,251118.845703125000000,743190.840087890625000,-171.000000000000000
4670,4670,7,251131.345703125000000,743190.840087890625000,-172.000000000000000
4740,4740,7,251081.345703125000000,743178.340087890625000,-166.000000000000000
4741,4741,7,251093.845703125000000,743178.340087890625000,-167.000000000000000
4742,4742,7,251106.345703125000000,743178.340087890625000,-168.000000000000000
4743,4743,7,251118.845703125000000,743178.340087890625000,-170.000000000000000
4744,4744,7,251131.345703125000000,743178.340087890625000,-171.000000000000000
4745,4745,7,251143.845703125000000,743178.340087890625000,-173.000000000000000
4814,4814,7,251081.345703125000000,743165.840087890625000,-165.000000000000000
4815,4815,7,251093.845703125000000,743165.840087890625000,-165.000000000000000
4816,4816,7,251106.345703125000000,743165.840087890625000,-166.000000000000000
4817,4817,7,251118.845703125000000,743165.840087890625000,-169.000000000000000
4818,4818,7,251131.345703125000000,743165.840087890625000,-170.000000000000000
4819,4819,7,251143.845703125000000,743165.840087890625000,-172.000000000000000
4887,4887,7,251068.845703125000000,743153.340087890625000,-164.000000000000000
4888,4888,7,251081.345703125000000,743153.340087890625000,-164.000000000000000
4889,4889,8,251093.845703125000000,743153.340087890625000,-164.000000000000000
4890,4890,7,251106.345703125000000,743153.340087890625000,-165.000000000000000
4893,4893,7,251143.845703125000000,743153.340087890625000,-171.000000000000000
4961,4961,7,251056.345703125000000,743140.840087890625000,-163.000000000000000
4962,4962,7,251068.845703125000000,743140.840087890625000,-163.000000000000000
4963,4963,7,251081.345703125000000,743140.840087890625000,-163.000000000000000
5036,5036,7,251056.345703125000000,743128.340087890625000,-162.000000000000000
5037,5037,7,251068.845703125000000,743128.340087890625000,-162.000000000000000
